threshold,oof_target_customers,oof_target_rate,oof_tp,oof_fn,oof_fp,oof_tn,oof_precision,oof_recall,oof_f1
0.29,77700,0.6216,61083,3091,16617,44209,0.7861389961389962,0.9518340761055879,0.8610880076687765
0.3,77227,0.617816,60955,3219,16272,44554,0.7892964895697101,0.9498394988624677,0.862157976251936
0.31,76883,0.615064,60848,3326,16035,44791,0.7914363383322711,0.9481721569482968,0.8627434299609378
0.32,76630,0.61304,60776,3398,15854,44972,0.793109748140415,0.9470502072490417,0.8632709298031306
0.33,76439,0.611512,60706,3468,15733,45093,0.794175747982051,0.9459594228192103,0.8634479031099542
0.34,76285,0.61028,60651,3523,15634,45192,0.7950580061611063,0.945102377910057,0.8636114453328018
0.35,76143,0.609144,60605,3569,15538,45288,0.7959365929895066,0.9443855767133107,0.8638297569075736
0.36,76036,0.608288,60555,3619,15481,45345,0.796399074122784,0.9436064449777168,0.8637757649240425
0.37,75921,0.607368,60508,3666,15413,45413,0.7969863410650545,0.9428740611462586,0.8638138406081588
0.38,75794,0.606352,60449,3725,15345,45481,0.7975433411615696,0.9419546856982579,0.8637545724737082
0.39,75626,0.605008,60376,3798,15250,45576,0.7983497738872875,0.9408171533642908,0.8637482117310443
0.4,75424,0.603392,60274,3900,15150,45676,0.7991355536699194,0.9392277246236793,0.8635367268872047
0.41,75144,0.601152,60136,4038,15008,45818,0.8002768018737357,0.9370773210334403,0.8632911755839159
0.42,74738,0.597904,59930,4244,14808,46018,0.8018678583852926,0.9338672982827937,0.8628484220225754
0.43,74237,0.593896,59688,4486,14549,46277,0.8040195589800234,0.9300963006825194,0.8624748033032057
0.44,73469,0.587752,59286,4888,14183,46643,0.8069525922497924,0.9238320815283448,0.8614459144308101
0.45,72428,0.579424,58760,5414,13668,47158,0.8112884519798973,0.9156356156698975,0.8603095123058228
0.46,71066,0.568528,58101,6073,12965,47861,0.8175639546337208,0.9053666593947705,0.8592280390417036
0.47,69231,0.553848,57133,7041,12098,48728,0.8252516936054658,0.8902826689936735,0.856534612645703
0.48,67035,0.53628,56051,8123,10984,49842,0.8361452972327889,0.8734222582354224,0.8543773674061993
0.49,64681,0.517448,54870,9304,9811,51015,0.848317125585566,0.8550191666406957,0.8516549610026775
0.5,62249,0.497992,53674,10500,8575,52251,0.8622467830808527,0.8363823355252906,0.8491176447323667
0.51,60040,0.48032,52637,11537,7403,53423,0.8766988674217189,0.8202231433290741,0.847521213389795
0.52,58172,0.465376,51716,12458,6456,54370,0.8890187719177611,0.8058715367594352,0.8454056528206889
0.53,56687,0.453496,50973,13201,5714,55112,0.8992008749801542,0.7942936391685106,0.8434979025492094
0.54,55492,0.443936,50390,13784,5102,55724,0.9080588192892669,0.7852089631314862,0.8421773937459262
0.55,54638,0.437104,49931,14243,4707,56119,0.9138511658552656,0.7780565337987347,0.8405043261623405
0.56,53999,0.431992,49596,14578,4403,56423,0.9184614529898701,0.7728363511702558,0.839379553705161
0.57,53504,0.428032,49332,14842,4172,56654,0.9220245215311005,0.7687225356063203,0.8384234946209147
0.58,53141,0.425128,49146,15028,3995,56831,0.9248226416514556,0.7658241655499112,0.8378468226569492
0.59,52875,0.423,49017,15157,3858,56968,0.9270354609929078,0.763814005672079,0.8375466684892652
0.6,52672,0.421376,48916,15258,3756,57070,0.928690765492102,0.7622401595661794,0.8372729918011742
