threshold,precision,recall,f1,target_customers,target_rate,fn,fp,tn,tp
0.34,0.7950580061611063,0.945102377910057,0.8636114453328018,76285,0.61028,3523,15634,45192,60651
0.35,0.7959365929895066,0.9443855767133107,0.8638297569075736,76143,0.609144,3569,15538,45288,60605
0.36,0.796399074122784,0.9436064449777168,0.8637757649240425,76036,0.608288,3619,15481,45345,60555
0.37,0.7969863410650545,0.9428740611462586,0.8638138406081588,75921,0.607368,3666,15413,45413,60508
0.38,0.7975433411615696,0.9419546856982579,0.8637545724737082,75794,0.606352,3725,15345,45481,60449
0.39,0.7983497738872875,0.9408171533642908,0.8637482117310443,75626,0.605008,3798,15250,45576,60376
0.4,0.7991355536699194,0.9392277246236793,0.8635367268872047,75424,0.603392,3900,15150,45676,60274
0.41,0.8002768018737357,0.9370773210334403,0.8632911755839159,75144,0.601152,4038,15008,45818,60136
0.42,0.8018678583852926,0.9338672982827937,0.8628484220225754,74738,0.597904,4244,14808,46018,59930
0.43,0.8040195589800234,0.9300963006825194,0.8624748033032057,74237,0.593896,4486,14549,46277,59688
0.44,0.8069525922497924,0.9238320815283448,0.8614459144308101,73469,0.587752,4888,14183,46643,59286
0.45,0.8112884519798973,0.9156356156698975,0.8603095123058228,72428,0.579424,5414,13668,47158,58760
0.46,0.8175639546337208,0.9053666593947705,0.8592280390417036,71066,0.568528,6073,12965,47861,58101
0.47,0.8252516936054658,0.8902826689936735,0.856534612645703,69231,0.553848,7041,12098,48728,57133
0.48,0.8361452972327889,0.8734222582354224,0.8543773674061993,67035,0.53628,8123,10984,49842,56051
0.49,0.848317125585566,0.8550191666406957,0.8516549610026775,64681,0.517448,9304,9811,51015,54870
0.5,0.8622467830808527,0.8363823355252906,0.8491176447323667,62249,0.497992,10500,8575,52251,53674
0.51,0.8766988674217189,0.8202231433290741,0.847521213389795,60040,0.48032,11537,7403,53423,52637
0.52,0.8890187719177611,0.8058715367594352,0.8454056528206889,58172,0.465376,12458,6456,54370,51716
0.53,0.8992008749801542,0.7942936391685106,0.8434979025492094,56687,0.453496,13201,5714,55112,50973
0.54,0.9080588192892669,0.7852089631314862,0.8421773937459262,55492,0.443936,13784,5102,55724,50390
0.55,0.9138511658552656,0.7780565337987347,0.8405043261623405,54638,0.437104,14243,4707,56119,49931
0.56,0.9184614529898701,0.7728363511702558,0.839379553705161,53999,0.431992,14578,4403,56423,49596
0.57,0.9220245215311005,0.7687225356063203,0.8384234946209147,53504,0.428032,14842,4172,56654,49332
0.58,0.9248226416514556,0.7658241655499112,0.8378468226569492,53141,0.425128,15028,3995,56831,49146
0.59,0.9270354609929078,0.763814005672079,0.8375466684892652,52875,0.423,15157,3858,56968,49017
0.6,0.928690765492102,0.7622401595661794,0.8372729918011742,52672,0.421376,15258,3756,57070,48916
0.61,0.9298071793308437,0.7604325739396017,0.8366335784944025,52484,0.419872,15374,3684,57142,48800
